Station_Names,YEAR,Month,Temprature,Rainfall
Bogra,1948,1,25.8,8.140625
Bogra,1948,2,33.3,11.140625
Bogra,1948,3,38.3,25.3125
Bogra,1948,4,39.5,69.140625
Bogra,1948,5,36.1,179.890625
Bogra,1948,6,33.5,315.578125
Bogra,1948,7,33.1,363.71875
Bogra,1948,8,33.3,307.015625
Bogra,1948,9,34.7,269.046875
Bogra,1948,10,33.8,145.984375
Bogra,1948,11,31.9,12.890625
Bogra,1948,12,26.9,6.390625
Comilla,1948,1,29.9,0
Comilla,1948,2,32.4,194
Comilla,1948,3,36.1,43
Comilla,1948,4,36.5,293
Comilla,1948,5,35.2,240
Comilla,1948,6,34.3,619
Comilla,1948,7,33.9,1045
Comilla,1948,8,33.2,347
Comilla,1948,9,33.9,388
Comilla,1948,10,33.8,219
Comilla,1948,11,31.1,14
Comilla,1948,12,28.8,0
Cox's Bazar,1948,1,29.2,3
Cox's Bazar,1948,2,31.9,0
Cox's Bazar,1948,3,37.1,0
Cox's Bazar,1948,4,35.3,200
Cox's Bazar,1948,5,33.3,424
Cox's Bazar,1948,6,33.2,827
Cox's Bazar,1948,7,32.4,969
Cox's Bazar,1948,8,32.2,958
Cox's Bazar,1948,9,32.8,274
Cox's Bazar,1948,10,32.4,189
Cox's Bazar,1948,11,32.2,46
Cox's Bazar,1948,12,28.2,0
Dinajpur,1948,1,28.9,0
Dinajpur,1948,2,32.7,0
Dinajpur,1948,3,37,0
Dinajpur,1948,4,37.7,71
Dinajpur,1948,5,36.8,244
Dinajpur,1948,6,35.3,285
Dinajpur,1948,7,33,442
Dinajpur,1948,8,34.4,362
Dinajpur,1948,9,34.4,231
Dinajpur,1948,10,33.7,236
Dinajpur,1948,11,31.8,39
Dinajpur,1948,12,27.8,0
Faridpur,1948,1,27.8,3
Faridpur,1948,2,31.6,76
Faridpur,1948,3,35.3,35
Faridpur,1948,4,35.8,245
Faridpur,1948,5,33.9,324
Faridpur,1948,6,33.9,402
Faridpur,1948,7,32.3,359
Faridpur,1948,8,31.5,410
Faridpur,1948,9,32.6,108
Faridpur,1948,10,31.7,481
Faridpur,1948,11,29.2,42
Faridpur,1948,12,23.6,0
Jessore,1948,1,28.2,0
Jessore,1948,2,32.4,58
Jessore,1948,3,37.1,72
Jessore,1948,4,37,102
Jessore,1948,5,35.7,6
Jessore,1948,6,36.9,348
Jessore,1948,7,34.1,272
Jessore,1948,8,33.1,379
Jessore,1948,9,34.1,115
Jessore,1948,10,32.9,132
Jessore,1948,11,31.4,102
Jessore,1948,12,26.1,0
Khulna,1948,1,29.5,5
Khulna,1948,2,33.8,116
Khulna,1948,3,36.7,164
Khulna,1948,4,37.2,129
Khulna,1948,5,35.6,82
Khulna,1948,6,35.3,68
Khulna,1948,7,33.1,317
Khulna,1948,8,32.5,112
Khulna,1948,9,33.3,120
Khulna,1948,10,36.7,111
Khulna,1948,11,31.7,0
Khulna,1948,12,28.3,0
Mymensingh,1948,1,28.3,0
Mymensingh,1948,2,30.5,21
Mymensingh,1948,3,36.6,35
Mymensingh,1948,4,35.9,176
Mymensingh,1948,5,34.3,537
Mymensingh,1948,6,34.3,354
Mymensingh,1948,7,34.7,513
Mymensingh,1948,8,32.7,376
Mymensingh,1948,9,34.3,432
Mymensingh,1948,10,33.4,339
Mymensingh,1948,11,31,26
Mymensingh,1948,12,30.9,0
Satkhira,1948,1,29.4,41
Satkhira,1948,2,33.4,143
Satkhira,1948,3,36.3,48
Satkhira,1948,4,35.6,60
Satkhira,1948,5,37.3,106
Satkhira,1948,6,36.7,234
Satkhira,1948,7,34,363
Satkhira,1948,8,33.2,384
Satkhira,1948,9,34.2,117
Satkhira,1948,10,33.2,308
Satkhira,1948,11,32.3,95
Satkhira,1948,12,28.4,0
Srimangal,1948,1,27.7,8.015384615
Srimangal,1948,2,31.7,27.81538462
Srimangal,1948,3,35.6,77.8
Srimangal,1948,4,35.1,206.8153846
Srimangal,1948,5,35.2,391.3846154
