Station,YEAR,AMT,AMiT,AR,AH,AWS,ACC,ABS,R Area,R Pro,W Area,W Pro,GN Area,GN Pro,Tob Area,Tob Pro,Ba Area,Ba Pro
Dinajpur,2000,33.31666667,20,124.8333333,81.08333333,0.566666667,3.216666667,6.183333333,1452000,1328000,229857,115654,350,150,580,175,2772,18035
Dinajpur,2001,33.69166667,20.25,185.5,79.5,0.558333333,3.166666667,6.616666667,1396000,1285000,239835,119874,390,185,450,140,2790,18072
Dinajpur,2002,33.6,20.28333333,212.4166667,80.66666667,0.608333333,3.475,6.725,1364000,1254000,238917,120012,420,210,480,150,3075,18247
Dinajpur,2003,33.13333333,20.06666667,171.4166667,82.25,0.608333333,3.5,6.158333333,1402000,1410000,245328,129981,550,235,390,100,3257,18820
Dinajpur,2004,33.38333333,20.025,191.0833333,81.33333333,0.575,3.558333333,5.891666667,1497000,1390000,249835,136545,730,295,320,80,3588,19720
Dinajpur,2005,33.50833333,20.39166667,247.9166667,80.75,0.508333333,3.608333333,6.508333333,1570000,1502000,251198,147945,630,260,300,80,3860,20765
Dinajpur,2006,34.24166667,20.61666667,107.0833333,78.75,0.591666667,3.391666667,6.366666667,1578000,1624000,192415,164105,1720,810,230,55,2710,18105
Dinajpur,2007,34.25,20.375,131.5833333,78.91666667,0.7,3.375,6.183333333,1637000,1737000,207635,203779,7395,4500,150,40,3830,29060
Dinajpur,2008,33.39166667,20.5,147.6666667,80.75,0.633333333,3.633333333,6.266666667,1716000,2068000,214110,179735,7203,4524,207,46,4042,30814
Dinajpur,2009,33.95833333,20.53333333,168.75,78.16666667,1.625,3.183333333,6.358333333,1820000,2207000,209567,217798,8766,5458,197,52,4032,31704
Dinajpur,2010,34.38333333,20.66666667,136.75,77.75,1.758333333,3.625,6.016666667,1816000,2234000,219950,241090,8188,5115,330,135,4234,30483
Dinajpur,2011,33.55,20.125,137,78.91666667,1.616666667,3.058333333,6.041666667,1821200,2334000,205977,231220,8130,5023,172,55,4360,35120
Dinajpur,2012,33.825,20.04166667,125.9166667,76.66666667,1.625,3.316666667,6.108333333,1840000,2243000,206428,241872,8462,5156,118,38,4354,36215
Dinajpur,2013,34.125,20.05833333,152.25,78,1.741666667,3.541666667,5.9,1834000,2257000,210219,254781,8528,5288,120,42,4393,38812
Dinajpur,2014,33.5821,19.0235,136.127,77.987,0.982151,3.53214,5.9898,1831000,2241000,201847,245814,13647,8192,125,45,4102,34124
Dinajpur,2015,35.121,20.224,128.25,77.258,1.21555,3.50201,6.20123,1839000,2213000,202015,245948,9895,5028,115,40,4703,38336
Dinajpur,2016,34.989,20.0052,145.552,76.369,1.87415,3.521489,6.0021,1840000,2291000,192741,241250,10254,6062,121,44,4712,38305
Dinajpur,2017,35.1281,20.06678,130.25,78.512,1.22017,3.608814,6.12304,1856000,2310000,219559,251297,11358,6512,120,45,4785,38872
Dinajpur,2018,35.82,20.357,128.775,80.33,0.92152,3.3741,6.364125,1842000,2284000,201854,241874,12128,6847,112,38,4871,39001
Dinajpur,2019,35.6212,20.921,127.798,76.418,1.212154,3.52146,6.2145,1855000,2285000,217852,252514,13590,7892,109,32,4852,38992
